"chemIndex","porosity","sampleNum","freq","amp","strain","stresskpa","cycleLet","cycleNum","stiffness","stiffFrac","damping","dampFrac","nonlinear","strainRate"
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"G",7000,0.0723431492348633,1.01638635188277,-5.66494883597893,0.977543946551577,1.65410084320537,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"H",8000,0.0722927120188306,1.01567773332601,-5.6648691637193,0.977708852047227,1.65005603820479,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"I",9000,0.0722899126528549,1.01563840358433,-5.66500569779576,0.977426265497014,1.66104255677001,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"J",10000,0.0723213770319633,1.0160804629339,-5.66533164459538,0.976751870508014,1.66433009729594,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"K",12500,0.0723137222074962,1.01597291634245,-5.66567464666587,0.97604252488631,1.66543663517315,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"L",15000,0.0723649756777288,1.016693002877,-5.66621212899309,0.974931678960586,1.66717278571453,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"M",17500,0.0723458372363289,1.0164241170068,-5.66661251116554,0.974104736271651,1.65293674111076,0.194305435389642
"79","81","131",2,0.0242881794237052,-0.527558770269968,-5.89325090778968,"N",20000,0.072416202265614,1.01741271172754,-5.66709661658165,0.973105499539059,1.67016895878583,0.194305435389642
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"A",0,0.0682218030454139,1,-2.86215638601987,1,1.63644174467518,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"B",250,0.0691698355452301,1.01389632723698,-2.87719992581078,0.94349625978029,1.66334401407009,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"C",500,0.0697141805700641,1.02187537499788,-2.86783525716588,0.978614236460918,1.62633340943744,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"D",750,0.0704681115353281,1.03292654825348,-2.86660537572882,0.983239946867603,1.63810516582968,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"E",1000,0.0710490459383521,1.04144192570015,-2.87419068716715,0.954761326804438,1.61303005772471,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"F",2000,0.0729644512331279,1.0695180715842,-2.87734256372036,0.942962752838591,1.50648766591926,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"G",3000,0.0742503954098164,1.0883675320101,-2.87794179193179,0.940721915986124,1.52580917028566,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"H",4000,0.0751539617410943,1.10161207101293,-2.87853532573668,0.938503088096713,1.50914519466822,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"I",5000,0.075790730309595,1.11094586959454,-2.87898232328197,0.936832530031261,1.51777079341447,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"J",6000,0.0762727538351929,1.11801140442476,-2.87922492671975,0.935926019493495,1.52793936325098,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"K",7000,0.0764536925968008,1.12066361755211,-2.8803675259119,0.931658176266214,1.5490037861757,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"L",8000,0.0767201512053906,1.12456938662732,-2.87968950734082,0.934190399915606,1.52373339031079,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"M",9000,0.0771935651963465,1.13150872229162,-2.88014002769586,0.932507720692586,1.53240052984952,0.0482792244735763
"79","81","138",0.5,0.0241396122367881,-0.456692053517087,-6.07568111614059,"N",10000,0.0773509549238431,1.13381575201629,-2.88020646116489,0.932259628132907,1.52318303611895,0.0482792244735763
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"A",0,0.0945609172222308,1,-2.8728379633778,1,1.61251346807381,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"B",250,0.0938998581489181,0.993009172364952,-2.87810807220605,0.979443211437211,1.60383963866962,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"C",500,0.0938893226248231,0.992897757158707,-2.87825239587839,0.978881084401081,1.72463758352419,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"D",750,0.0944213775160782,0.998524340602317,-2.88135232031837,0.966817685423287,1.64148146355088,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"E",1000,0.0946690862125326,1.00114390800639,-2.88322975207706,0.959521326848936,1.64857494801522,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"F",2000,0.0958732722635733,1.01387840854228,-2.88658838640526,0.946486507313678,1.61943727107776,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"G",3000,0.096762031602881,1.02327721055706,-2.88502660087849,0.952544920070416,1.6245992470318,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"H",4000,0.0965209402832522,1.02072762319358,-2.87470690620421,0.992703163515999,1.66270934945279,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"I",5000,0.0963895430242622,1.01933807175045,-2.87899054422089,0.97600674988445,1.67522353726779,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"J",6000,0.0966059577710759,1.02162669958075,-2.87440184087338,0.993893706859998,1.71297266480141,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"K",7000,0.0972254858240923,1.02817832863866,-2.88540556041572,0.95107442116322,1.68344339129491,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"L",8000,0.0967545830602258,1.02319844077696,-2.8904826187767,0.931401564433156,1.70162343057969,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"M",9000,0.0964468451419781,1.01994405273497,-2.89324173723386,0.920731925620584,1.69010235261395,0.0495405811125898
"79","81","155",0.5,0.0247702905562949,-0.456692222405916,-7.60834692778229,"N",10000,0.0963599745179861,1.01902537907418,-2.88363175408251,0.957959948768998,1.66951010309206,0.0495405811125898
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"A",0,1.16013278833997,1,0.262432007640067,1,1.4585580121262,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"B",2000,1.13947472224502,0.982193360706137,-6.04203648368068,0.915523569406941,1.49244861566287,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"C",3000,1.14290598818702,0.985151010017053,-6.04500798166988,0.903801256931831,1.47095314915508,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"D",4000,1.14296107195648,0.985198490589973,-6.04681892364495,0.896665545977409,1.47006537203386,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"E",5000,1.14143673236128,0.983884555141793,-6.04801485562692,0.891956592928856,1.46567378824165,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"F",6000,1.14095225923488,0.98346695369886,-6.04903802733716,0.88793002132376,1.474316607312,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"G",7000,1.13192314493002,0.97568412539196,-6.05009837321367,0.883759228309883,1.47813865605074,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"H",8000,1.12052061085111,0.965855479745951,-6.05080179476147,0.880993529989032,1.48020725188651,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"I",9000,1.11598852372707,0.961948955277722,-6.05135339550542,0.878825401776457,1.48049917790501,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"J",10000,1.11548168138289,0.961512072233577,-6.05181910980532,0.876995299441893,1.4861229000084,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"K",15000,1.10373299810603,0.951385056261841,-6.05339232057103,0.870816068078931,1.48571376587747,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"L",20000,1.10261299809118,0.950419649520376,-6.05444760977601,0.866673670365429,1.49011637790337,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"M",25000,1.09989462323408,0.948076491147116,-6.05534568633492,0.863149993237347,1.49098222779133,0.0480782153288133
"100","71","107",0.5,0.0240391076644067,-0.2913332232557,-110.362016097564,"N",30000,1.10418634265522,0.951775825795936,-6.05601429939936,0.860527588105155,1.49131636217975,0.0480782153288133
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"A",0,0.977270185384475,1,0.248003848515899,1,1.54485884398843,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"B",2000,1.00228793234682,1.0255996216159,-6.06079131164336,0.893047258442465,1.4355403749198,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"C",3000,1.01696312587231,1.04061613776974,-6.0636940037237,0.88100566100124,1.45148053857395,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"D",4000,1.01896794664572,1.04266758761789,-6.04815146760198,0.945670176693656,1.61240537578571,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"E",5000,1.02101084990062,1.04475800568799,-6.05620205202625,0.912117821400469,1.58388279706315,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"F",6000,1.01812673405141,1.04180680970111,-6.06789769300629,0.863594542196325,1.45116074350249,0.0296622342691482
"100","71","118",0.3,0.0247185285576235,-0.291336072838228,-99.292455569187,"G",7000,1.02307500376037,1.04687016861962,-6.06967451282212,0.856244848551652,1.47369858874229,0.0296622342691482
